codigo_ibge,municipio,uf,estado,populacao,capital,site_oficial,criterio_inclusao,fonte,data_congelamento
1200401,Rio Branco,AC,Acre,389001,true,,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20
2704302,Maceió,AL,Alagoas,994952,true,,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20
1302603,Manaus,AM,Amazonas,2303732,true,,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20
1600303,Macapá,AP,Amapá,489676,true,,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20
2900207,Abaré,BA,Bahia,18269,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2900702,Alagoinhas,BA,Bahia,161196,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2900801,Alcobaça,BA,Bahia,25601,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901007,Amargosa,BA,Bahia,38585,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901106,Amélia Rodrigues,BA,Bahia,24830,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901155,América Dourada,BA,Bahia,15572,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901205,Anagé,BA,Bahia,26745,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901353,Andorinha,BA,Bahia,15491,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2901908,Aporá,BA,Bahia,16361,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2902104,Araci,BA,Bahia,50308,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2902609,Baixa Grande,BA,Bahia,18628,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
2902708,Barra,BA,Bahia,53642,false,,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20
