codigo_ibge,municipio,uf,estado,populacao,capital,site_oficial,criterio_inclusao,fonte,data_congelamento,status_localizacao_site,observacoes_localizacao_site,data_validacao_site
1200401,Rio Branco,AC,Acre,389001,True,https://www.riobranco.ac.gov.br/,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2704302,Maceió,AL,Alagoas,994952,True,https://www.maceio.al.gov.br/,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
1302603,Manaus,AM,Amazonas,2303732,True,https://www.manaus.am.gov.br/,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
1600303,Macapá,AP,Amapá,489676,True,https://www.macapa.ap.gov.br/,Capital dos demais estados/DF,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2900207,Abaré,BA,Bahia,18269,False,https://www.abare.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2900702,Alagoinhas,BA,Bahia,161196,False,https://www.alagoinhas.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2900801,Alcobaça,BA,Bahia,25601,False,https://www.alcobaca.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901007,Amargosa,BA,Bahia,38585,False,https://www.amargosa.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901106,Amélia Rodrigues,BA,Bahia,24830,False,https://www.ameliarodrigues.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901155,América Dourada,BA,Bahia,15572,False,https://www.americadourada.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901205,Anagé,BA,Bahia,26745,False,https://www.anage.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901353,Andorinha,BA,Bahia,15491,False,https://www.andorinha.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2901908,Aporá,BA,Bahia,16361,False,https://www.apora.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2902104,Araci,BA,Bahia,50308,False,https://www.araci.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2902609,Baixa Grande,BA,Bahia,18628,False,https://www.baixagrande.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2902708,Barra,BA,Bahia,53642,False,https://www.barra.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2902807,Barra da Estiva,BA,Bahia,27743,False,https://www.barradaestiva.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2902906,Barra do Choça,BA,Bahia,38581,False,https://www.barradochoca.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903201,Barreiras,BA,Bahia,171634,False,https://www.barreiras.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903276,Barrocas,BA,Bahia,15780,False,https://www.barrocas.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903409,Belmonte,BA,Bahia,20527,False,https://www.belmonte.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903508,Belo Campo,BA,Bahia,19074,False,https://www.belocampo.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903607,Biritinga,BA,Bahia,15603,False,https://www.biritinga.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
2903805,Boa Vista do Tupim,BA,Bahia,17262,False,https://www.boavistadotupim.ba.gov.br/,BA acima de 15.000 habitantes,SIDRA 6579/v/9324/p/2025,2026-05-20,Necessita validação manual,Site inferido automaticamente; validar antes da entrega.,2026-05-27
